title,product_title,product_id
BGC2-75 - Ilsco,22305,
BGC2-10 - Ilsco,22306,
CH-34 - Ilsco,22302H,
CH-1 - Ilsco,22303H,
GPL-4 - Penn-Union,50063,
GPL-5 - Penn-Union,50064,
GPL-6 - Penn-Union,50065,
GPL-9 - Penn-Union,50066,
GUV7821 - ABB,50066,
GUV7825 - ABB,50067,
GPL-10 - Penn-Union,50067,
GUV11821 - ABB,50069,
GPL-15 - Penn-Union,50069,
GPL-16 - Penn-Union,50070,
GUV2021 - ABB,50075,
GPL-15 - Penn-Union,50075,
GPL-33 - Penn-Union,50076HD,
GUV2025 - ABB,50076HD,
GUV21225 - ABB,50077HD,
GUV3025 - ABB,50079HD,
GD1529 - Burndy,50069DH,
GU-3 - Ilsco,50069DH,
GU-2 - Penn-Union,50069DH,
GU-3P - Panduit,50069DH,
GD1629 - Burndy,50071DH,
GU-6 - Ilsco,50071DH,
GU-5 - Penn-Union,50071DH,
BLU-8S14 - Techspan,98001,
BLU-8S15 - Techspan,98002,
BLU-8S16 - Techspan,98002A,
BLU-8S17 - Techspan,98002B,
BLU-6S - Penn-Union,98003,
BLU-6S1 - Techspan,98004,
BLU-6S8 - Penn Union,98005A,
BLU-6S2 - Techspan,98005,
BLU-4S - Techspan,98006,
BLU-4S1 - Techspan,98008,
BLU-4S10 - Techspan,98009,
BLU-4S2 - Techspan,98010,
BLU-4S4 - Techspan,98010A,
BLU-3S1 - Techspan,98010B,
BLU-3S2 - Techspan,98010C,
BLU-3S3 - Penn Union,98010D,
BLU-2S - Techspan,98011,
BLU-2S1 - Techspan,98012,
BLU-2S2 - Techspan,98013,
BLU-2S10 - Techspan,98013A,
BLU-1S9 - Techspan,98014,
BLU-1S - Techspan,98015,
BLU-1S1 - Techspan,98016,
BLU-1S4 - Techspan,98016A,
BLU-1/0S19 - Techspan,98017,
BLU-1/0S - Techspan,98018,
BLU-1/0S1 - Techspan,98019,
BLU-1/0S2 - Penn Union,98019A,
CSWS-2/0-14 - Ilsco,98020,
BLU-2/0S20 - Techspan,98020,
BLU-2/0S21 - Techspan,98021,
BLU-2/0S - Techspan,98022,
BLU-2/0S4 - Techspan,98023,
BLU-3/0S14 - Techspan,98024,
BLU-3/0S15 - Techspan,98025,
BLU-3/0S - Techspan,98026,
BLU-3/0S1 - Techspan,98027,
BLU-4/0S19 - Techspan,98028,
BLU-4/0S25 - Techspan,98029,
BLU-4/0S - Techspan,98030,
BLU-4/0S1 - Techspan,98031,
BLU-025S2 - Techspan,98032,
BLU-025S - Techspan,98033,
BLU-030S - Techspan,98034,
BLU-030S8 - Techspan,98035,
BLU-035S - Techspan,98036,
BLU-030S7 - Penn Union,98036A,
BLU-035S3 - Techspan,98037,
BLU-040S4 - Techspan,98038,
BLU-040S - Techspan,98039,
BLU-050S2 - Techspan,98040,
BLU-050S - Techspan,98041,
BLU-060S - Techspan,98042,
BLU-060S1 - Penn Union,98042A,
BLU-075S - Techspan,98043,
BLU-100S - Techspan,98043B,
